Data__|;Data__|__Id;Data__|__CoinName;Data__|__Name;Data__|__Symbol;;Data__|__FullName;Data__|__Algorithm;Data__|__ProofType;Data__|__FullyPremined;Data__|__TotalCoinSupply;Data__|__PreMinedValue;Data__|__TotalCoinsFreeFloat;Data__|__SortOrder;Data__|__Sponsored;Type
SOLE;4607;SoleCoin;SOLE;SOLE;;SoleCoin (SOLE);X15;PoW/PoS;0;1200000;N/A;N/A;203;False;
SPA;4608;SpainCoin;SPA;SPA;;SpainCoin (SPA);Scrypt-n;PoW;0;50000000;N/A;N/A;204;False;
SPT;4609;Spots;SPT;SPT;;Spots (SPT);Scrypt;PoW;0;100000000;N/A;N/A;205;False;
SRC;4611;SecureCoin;SRC;SRC;;SecureCoin (SRC);Scrypt;PoW;0;21000000;N/A;N/A;206;False;
SSV;4613;SSVCoin;SSV;SSV;;SSVCoin (SSV);X13;PoW;0;21000000;N/A;N/A;207;False;
SUPER;4615;SuperCoin;SUPER;SUPER;;SuperCoin (SUPER);X11;PoW/PoS;0;150000000;N/A;N/A;209;False;
SWIFT;4616;BitSwift;SWIFT;SWIFT;;BitSwift (SWIFT);Scrypt;PoW/PoS;0;4000000;N/A;N/A;210;False;
SYNC;4617;SyncCoin;SYNC;SYNC;;SyncCoin (SYNC);X11;PoW/PoS;0;1000;N/A;N/A;211;False;
TAG;4619;TagCoin;TAG;TAG;;TagCoin (TAG);Scrypt;PoW/PoS;0;1000000;N/A;N/A;213;False;
TES;4622;TeslaCoin;TES;TES;;TeslaCoin (TES);Multiple;PoW/PoS;0;60800000;N/A;N/A;215;False;
TGC;4623;TigerCoin;TGC;TGC;;TigerCoin (TGC);SHA256;PoW;0;47011968;N/A;N/A;216;False;
TIT;4624;TitCoin;TIT;TIT;;TitCoin (TIT);SHA256;PoW;0;69000000;N/A;N/A;217;False;
TOR;4625;TorCoin;TOR;TOR;;TorCoin (TOR);X11;PoW/PoS;0;10000000;N/A;N/A;218;False;
